"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value"
"4.3","high","4 yr.","mnwk","with","1","All","LPM","age_grp20-24",7.97486990621913e-05,8.40719667607422e-06,9.48576584263166,2.40610119887958e-21
"4.4","high","4 yr.","mnwk","with","1","All","LPM","age_grp25-34",8.73932580072133e-05,8.36853721652497e-06,10.443074547681,1.57621804312708e-25
"4.5","high","4 yr.","mnwk","with","1","All","LPM","age_grp35-44",8.65388944338161e-05,8.37237074095757e-06,10.3362472961772,4.83087237642792e-25
"4.6","high","4 yr.","mnwk","with","1","All","LPM","age_grp45-54",8.54120623992687e-05,8.37973821721177e-06,10.1926886240712,2.13769407704922e-24
"4.7","high","4 yr.","mnwk","with","1","All","LPM","age_grp55-64",8.03108440362396e-05,8.40273682892318e-06,9.55770074338167,1.20402016366582e-21
"4.8","high","4 yr.","mnwk","with","1","All","LPM","age_grp65-199",6.15808214043679e-05,8.42557155864986e-06,7.30880047433077,2.69537819171449e-13
"4.9","high","4 yr.","mnwk","with","1","All","LPM","curr_pts_grp1-3",2.67809329547624e-05,4.84861129482854e-07,55.2342337347739,0
"4.10","high","4 yr.","mnwk","with","1","All","LPM","curr_pts_grp4-6",6.55822236400755e-05,7.21970517924739e-07,90.8378140267939,0
"4.11","high","4 yr.","mnwk","with","1","All","LPM","curr_pts_grp7-9",0.000109055469453206,1.16008386623073e-06,94.0065392061196,0
"4.12","high","4 yr.","mnwk","with","1","All","LPM","curr_pts_grp10-150",0.00019562590920616,1.79016618328008e-06,109.278072076928,0
"4.13","high","4 yr.","mnwk","with","1","All","LPM","month02",1.23453891147856e-05,1.19208045643345e-06,10.3561710521799,3.92356405706304e-25
"4.14","high","4 yr.","mnwk","with","1","All","LPM","month03",1.55015367484705e-05,1.17395835113078e-06,13.2045031525515,8.26437381026882e-40
"4.15","high","4 yr.","mnwk","with","1","All","LPM","month04",8.85387102030605e-06,1.16463862757683e-06,7.6022474359515,2.9103180412789e-14
"4.16","high","4 yr.","mnwk","with","1","All","LPM","month05",1.47503258332552e-05,1.17965606815643e-06,12.5039206184113,7.10588148741761e-36
