,past_pts,window,seasonality,age_int,pts_target,sex,reg_type,Variable,Estimate,Std_Error,z_stat,p_value,mfx
10,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,(Intercept),-9.188657069,0.027180012,-338.0667026,0,NA
10.1,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,policyTRUE,0.015514141,0.038582509,0.402102951,0.687608261,0.295219952
10.2,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,policy_monthpolicy01,0.148686503,0.004655111,31.9404823,7.32E-224,NA
10.3,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,policy_monthpolicy02,0.111376962,0.004558299,24.43388552,7.47E-132,NA
10.4,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,policy_monthpolicy03,0.038350586,0.004761064,8.05504591,7.94E-16,NA
10.5,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,policy_monthpolicy04,-0.096089811,0.004871666,-19.72422097,1.34E-86,NA
10.6,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,policy_monthpolicy05,-0.096499283,0.005178205,-18.63566314,1.65E-77,NA
10.7,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,policy_monthpolicy06,-0.120243211,0.004684616,-25.66767516,2.68E-145,NA
10.8,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,policy_monthpolicy07,-0.077871925,0.004628067,-16.82601387,1.57E-63,NA
10.9,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,policy_monthpolicy08,-0.131684541,0.004884543,-26.95944137,4.42E-160,NA
10.1,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,policy_monthpolicy09,-0.250001735,0.007121951,-35.10298338,6.07E-270,NA
10.11,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,policy_monthpolicy10,-0.369608274,0.005685683,-65.00684091,0,NA
10.12,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,policy_monthpolicy11,-0.136345334,0.005114293,-26.6596647,1.38E-156,NA
10.13,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,policy_monthpolicy12,-0.054945145,0.004719797,-11.64142076,2.54E-31,NA
10.14,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,age_grp16-19,1.269667217,0.027271555,46.55646573,0,NA
10.15,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,age_grp20-24,1.129896629,0.027126905,41.65225012,0,NA
10.16,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,age_grp25-34,0.948017462,0.027081244,35.00642194,1.80E-268,NA
10.17,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,age_grp35-44,0.827483857,0.027083404,30.55317089,5.13E-205,NA
10.18,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,age_grp45-54,0.724837885,0.027089394,26.75725761,1.02E-157,NA
10.19,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,age_grp55-64,0.566645211,0.027134926,20.88250418,7.72E-97,NA
10.2,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,age_grp65-199,0.196895345,0.027243299,7.227294359,4.93E-13,NA
10.21,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,curr_pts_grp1-3,1.082780879,0.001474598,734.2889016,0,NA
10.22,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,curr_pts_grp4-6,1.534003027,0.001833353,836.7200446,0,NA
10.23,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,curr_pts_grp7-9,1.779394209,0.002410967,738.0416549,0,NA
10.24,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,curr_pts_grp10-150,2.005410993,0.002504585,800.6958067,0,NA
10.25,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,month02,0.133532485,0.003377784,39.53256805,0,NA
10.26,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,month03,0.141840622,0.003298844,42.99706613,0,NA
10.27,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,month04,0.06175056,0.003428751,18.00963911,1.64E-72,NA
10.28,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,month05,0.101929522,0.0033593,30.34248596,3.16E-202,NA
10.29,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,month06,0.097595638,0.003389135,28.79662219,2.36E-182,NA
10.3,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,month07,0.098868525,0.003361595,29.41119792,3.95E-190,NA
10.31,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,month08,-0.008238341,0.003443495,-2.392435946,0.016736949,NA
10.32,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,month09,0.235401403,0.003274785,71.88301068,0,NA
10.33,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,month10,0.187766643,0.003277838,57.28369171,0,NA
10.34,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,month11,0.169059083,0.003312839,51.03147659,0,NA
10.35,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,month12,-0.567494953,0.004029937,-140.8197907,0,NA
10.36,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,weekdayMonday,0.349632934,0.002434186,143.6344414,0,NA
10.37,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,weekdayTuesday,0.440481687,0.00239076,184.2433733,0,NA
10.38,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,weekdayWednesday,0.490061905,0.002368232,206.9315169,0,NA
10.39,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,weekdayThursday,0.445533461,0.002390407,186.38391,0,NA
10.4,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,weekdayFriday,0.375289455,0.002423615,154.8469636,0,NA
10.41,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,weekdaySaturday,0.09193379,0.002578645,35.65197466,2.20E-278,NA
10.42,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,policyTRUE:age_grp16-19,-0.110114049,0.038910991,-2.829895761,0.004656317,-11.90479608
10.43,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,policyTRUE:age_grp20-24,-0.130042792,0.038719092,-3.358621942,0.000783322,-12.51876985
10.44,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,policyTRUE:age_grp25-34,-0.130100691,0.038656539,-3.365554544,0.0007639,-8.749805005
10.45,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,policyTRUE:age_grp35-44,-0.089236916,0.038661685,-2.308148609,0.020990872,-4.976658227
10.46,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,policyTRUE:age_grp45-54,-0.071547536,0.038667188,-1.850342338,0.064264224,-3.378654011
10.47,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,policyTRUE:age_grp55-64,-0.059889267,0.03872825,-1.546397469,0.122008605,-2.247661202
10.48,all,Monthly 4 yr.,mnwk,with,all,Male,Logit,policyTRUE:age_grp65-199,0.00034713,0.03886434,0.008931834,0.992873523,0.008222832
11,all,Monthly 4 yr.,mnwk,no,all,Female,Logit,(Intercept),-10.6978229,0.065367701,-163.6560984,0,NA
11.1,all,Monthly 4 yr.,mnwk,no,all,Female,Logit,policyTRUE,0.031029321,0.002220344,13.97500531,2.21E-44,0.837377911
11.2,all,Monthly 4 yr.,mnwk,no,all,Female,Logit,policy_monthpolicy01,0.106253977,0.00703428,15.10516708,1.50E-51,2.442149732
11.3,all,Monthly 4 yr.,mnwk,no,all,Female,Logit,policy_monthpolicy02,0.063215602,0.006932514,9.118712322,7.60E-20,1.778422051
11.4,all,Monthly 4 yr.,mnwk,no,all,Female,Logit,policy_monthpolicy03,-0.015697542,0.007388412,-2.124616535,0.033618623,-0.464979018
11.5,all,Monthly 4 yr.,mnwk,no,all,Female,Logit,policy_monthpolicy04,-0.152661693,0.007758732,-19.67611271,3.46E-86,-4.365074189
