"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value"
"10.9","all","4 yr.","excluded","with","4","All","LPM","curr_pts_grp1-3",2.68671723054631e-06,6.95546096406757e-08,38.6274503505388,0
"10.10","all","4 yr.","excluded","with","4","All","LPM","curr_pts_grp4-6",1.02923782892096e-05,1.96981170166308e-07,52.250569333708,0
"10.11","all","4 yr.","excluded","with","4","All","LPM","curr_pts_grp7-9",1.95327449849274e-05,4.33418820496319e-07,45.0666746833006,0
"10.12","all","4 yr.","excluded","with","4","All","LPM","curr_pts_grp10-150",4.53951238598386e-05,7.83384138473635e-07,57.9474636138122,0
"10.13","all","4 yr.","excluded","with","4","All","LPM","policyTRUE:age_grp16-19",-7.55100897886322e-08,1.77433923358402e-06,-0.0425567379446985,0.966054882343471
"10.14","all","4 yr.","excluded","with","4","All","LPM","policyTRUE:age_grp20-24",3.00823592776846e-06,1.59393439476752e-06,1.8873022237576,0.0591196875555176
"10.15","all","4 yr.","excluded","with","4","All","LPM","policyTRUE:age_grp25-34",3.5018907476986e-06,1.57123275201096e-06,2.22875366059972,0.025830299751135
"10.16","all","4 yr.","excluded","with","4","All","LPM","policyTRUE:age_grp35-44",3.68244888398291e-06,1.569335606243e-06,2.34650183767813,0.0189505727798208
"10.17","all","4 yr.","excluded","with","4","All","LPM","policyTRUE:age_grp45-54",3.78025927987652e-06,1.56870128689629e-06,2.40980186059249,0.0159611862015765
"10.18","all","4 yr.","excluded","with","4","All","LPM","policyTRUE:age_grp55-64",3.78341938898161e-06,1.56863664946726e-06,2.41191571691669,0.0158689494466698
"10.19","all","4 yr.","excluded","with","4","All","LPM","policyTRUE:age_grp65-199",3.81922473440797e-06,1.56864429815168e-06,2.43472961901442,0.0149029209791089
"11","all","4 yr.","excluded","no","5","All","LPM","(Intercept)",1.41633162345845e-06,1.09473031332891e-07,12.9377217951661,2.75684116084073e-38
"11.1","all","4 yr.","excluded","no","5","All","LPM","policyTRUE",-5.58224301758628e-06,5.98617426600276e-08,-93.2522637920762,0
"11.2","all","4 yr.","excluded","no","5","All","LPM","age_grp16-19",2.58227148915163e-05,3.65861911388776e-07,70.5804952297324,0
"11.3","all","4 yr.","excluded","no","5","All","LPM","age_grp20-24",2.04085463113536e-05,2.18423398199102e-07,93.435714669865,0
"11.4","all","4 yr.","excluded","no","5","All","LPM","age_grp25-34",9.50492391821912e-06,1.34754919735655e-07,70.5348935449977,0
"11.5","all","4 yr.","excluded","no","5","All","LPM","age_grp35-44",4.31547605297205e-06,1.21134278111531e-07,35.6255563681051,5.63458387886871e-278
"11.6","all","4 yr.","excluded","no","5","All","LPM","age_grp45-54",2.48178954681548e-06,1.1455988217897e-07,21.6636880172268,4.51595984357786e-104
"11.7","all","4 yr.","excluded","no","5","All","LPM","age_grp55-64",1.5323717848206e-06,1.13019297423583e-07,13.558496820923,7.0567480704968e-42
"11.8","all","4 yr.","excluded","no","5","All","LPM","age_grp65-199",1.01745314288475e-06,1.09739188026379e-07,9.27155705435124,1.83448089956511e-20
"11.9","all","4 yr.","excluded","no","5","All","LPM","curr_pts_grp1-3",1.21590590707869e-05,1.19249109282015e-07,101.963521102969,0
"11.10","all","4 yr.","excluded","no","5","All","LPM","curr_pts_grp4-6",3.0156283186042e-05,3.18105159408137e-07,94.7997298822517,0
"11.11","all","4 yr.","excluded","no","5","All","LPM","curr_pts_grp7-9",5.05702235337487e-05,6.74034894668561e-07,75.0261209527071,0
"11.12","all","4 yr.","excluded","no","5","All","LPM","curr_pts_grp10-150",9.93476564702183e-05,1.13966738772092e-06,87.1725009775806,0
"12","all","4 yr.","excluded","with","5","All","LPM","(Intercept)",-1.14402252765554e-06,1.81225979254165e-07,-6.31268503756338,2.74235274670398e-10
"12.1","all","4 yr.","excluded","with","5","All","LPM","policyTRUE",-4.17380315509784e-07,2.09943035878987e-07,-1.98806458981743,0.0468045470270023
"12.2","all","4 yr.","excluded","with","5","All","LPM","age_grp16-19",3.26371032209996e-05,5.95079030949259e-07,54.8449895284286,0
"12.3","all","4 yr.","excluded","with","5","All","LPM","age_grp20-24",2.81003119580337e-05,3.62013204085181e-07,77.6223398509567,0
"12.4","all","4 yr.","excluded","with","5","All","LPM","age_grp25-34",1.3861917403729e-05,2.29212510312297e-07,60.4762688774816,0
"12.5","all","4 yr.","excluded","with","5","All","LPM","age_grp35-44",6.80597914080523e-06,2.05395205283234e-07,33.1360176174511,9.00595452825395e-241
"12.6","all","4 yr.","excluded","with","5","All","LPM","age_grp45-54",4.13992706855061e-06,1.95915761423721e-07,21.1311588126741,4.11330097730445e-99
"12.7","all","4 yr.","excluded","with","5","All","LPM","age_grp55-64",2.390386055014e-06,1.93463350232623e-07,12.3557565406562,4.53470143820712e-35
"12.8","all","4 yr.","excluded","with","5","All","LPM","age_grp65-199",1.21868188410015e-06,1.88163950098993e-07,6.4767022772375,9.37489167362998e-11
