,past_pts,window,seasonality,age_int,pts_target,sex,reg_type,Variable,Estimate,Std_Error,z_stat,p_value
5.27,all,4 yr.,mnwk,no,2,All,LPM,weekdayThursday,8.97E-05,4.70E-07,190.9697728,0
5.28,all,4 yr.,mnwk,no,2,All,LPM,weekdayFriday,6.84E-05,4.53E-07,150.8861247,0
5.29,all,4 yr.,mnwk,no,2,All,LPM,weekdaySaturday,1.19E-05,4.04E-07,29.37820789,1.04E-189
6,all,4 yr.,mnwk,with,2,All,LPM,(Intercept),-9.41E-05,1.51E-06,-62.41012392,0
6.1,all,4 yr.,mnwk,with,2,All,LPM,policyTRUE,-1.16E-06,2.09E-06,-0.555011422,0.578886848
6.2,all,4 yr.,mnwk,with,2,All,LPM,age_grp16-19,0.000157104,2.03E-06,77.35324899,0
6.3,all,4 yr.,mnwk,with,2,All,LPM,age_grp20-24,0.000153444,1.66E-06,92.38048688,0
6.4,all,4 yr.,mnwk,with,2,All,LPM,age_grp25-34,0.000138736,1.51E-06,92.10634294,0
6.5,all,4 yr.,mnwk,with,2,All,LPM,age_grp35-44,0.000129774,1.49E-06,87.18978475,0
6.6,all,4 yr.,mnwk,with,2,All,LPM,age_grp45-54,0.000114576,1.48E-06,77.62436907,0
6.7,all,4 yr.,mnwk,with,2,All,LPM,age_grp55-64,9.18E-05,1.48E-06,61.97768559,0
6.8,all,4 yr.,mnwk,with,2,All,LPM,age_grp65-199,5.54E-05,1.47E-06,37.71421825,2.90477767562662e-311
6.9,all,4 yr.,mnwk,with,2,All,LPM,curr_pts_grp1-3,0.0002355,5.47E-07,430.6929884,0
6.1,all,4 yr.,mnwk,with,2,All,LPM,curr_pts_grp4-6,0.000449914,1.27E-06,353.4571128,0
6.11,all,4 yr.,mnwk,with,2,All,LPM,curr_pts_grp7-9,0.000600084,2.40E-06,250.1124412,0
6.12,all,4 yr.,mnwk,with,2,All,LPM,curr_pts_grp10-150,0.000723568,3.21E-06,225.1197092,0
6.13,all,4 yr.,mnwk,with,2,All,LPM,month02,3.84E-05,6.42E-07,59.88467516,0
6.14,all,4 yr.,mnwk,with,2,All,LPM,month03,5.17E-05,6.37E-07,81.17392586,0
6.15,all,4 yr.,mnwk,with,2,All,LPM,month04,4.36E-05,6.38E-07,68.33417496,0
6.16,all,4 yr.,mnwk,with,2,All,LPM,month05,4.77E-05,6.37E-07,74.87926355,0
6.17,all,4 yr.,mnwk,with,2,All,LPM,month06,3.22E-05,6.26E-07,51.44926432,0
6.18,all,4 yr.,mnwk,with,2,All,LPM,month07,2.06E-05,6.09E-07,33.7984493,2.08E-250
6.19,all,4 yr.,mnwk,with,2,All,LPM,month08,4.60E-06,5.92E-07,7.769382629,7.89E-15
6.2,all,4 yr.,mnwk,with,2,All,LPM,month09,6.05E-05,6.53E-07,92.60384428,0
6.21,all,4 yr.,mnwk,with,2,All,LPM,month10,5.18E-05,6.39E-07,81.06312445,0
6.22,all,4 yr.,mnwk,with,2,All,LPM,month11,4.78E-05,6.40E-07,74.60545474,0
6.23,all,4 yr.,mnwk,with,2,All,LPM,month12,-6.48E-05,5.16E-07,-125.637575,0
6.24,all,4 yr.,mnwk,with,2,All,LPM,weekdayMonday,7.21E-05,4.55E-07,158.39726,0
6.25,all,4 yr.,mnwk,with,2,All,LPM,weekdayTuesday,9.20E-05,4.71E-07,195.4718104,0
6.26,all,4 yr.,mnwk,with,2,All,LPM,weekdayWednesday,0.000100071,4.77E-07,209.9592497,0
6.27,all,4 yr.,mnwk,with,2,All,LPM,weekdayThursday,8.97E-05,4.70E-07,190.9698513,0
6.28,all,4 yr.,mnwk,with,2,All,LPM,weekdayFriday,6.84E-05,4.53E-07,150.8862125,0
6.29,all,4 yr.,mnwk,with,2,All,LPM,weekdaySaturday,1.19E-05,4.04E-07,29.37819674,1.04E-189
6.3,all,4 yr.,mnwk,with,2,All,LPM,policyTRUE:age_grp16-19,3.61E-06,2.90E-06,1.245710916,0.212870545
6.31,all,4 yr.,mnwk,with,2,All,LPM,policyTRUE:age_grp20-24,1.42E-07,2.43E-06,0.05873255,0.953165133
6.32,all,4 yr.,mnwk,with,2,All,LPM,policyTRUE:age_grp25-34,-4.48E-06,2.21E-06,-2.030274012,0.042328694
6.33,all,4 yr.,mnwk,with,2,All,LPM,policyTRUE:age_grp35-44,-3.48E-07,2.19E-06,-0.159122543,0.873572327
6.34,all,4 yr.,mnwk,with,2,All,LPM,policyTRUE:age_grp45-54,6.08E-07,2.16E-06,0.280730587,0.778917047
6.35,all,4 yr.,mnwk,with,2,All,LPM,policyTRUE:age_grp55-64,4.68E-07,2.17E-06,0.215934765,0.829038598
6.36,all,4 yr.,mnwk,with,2,All,LPM,policyTRUE:age_grp65-199,2.86E-06,2.15E-06,1.326513083,0.184669805
7,all,4 yr.,mnwk,no,3,All,LPM,(Intercept),1.59E-05,2.46E-06,6.46929585,9.85E-11
7.1,all,4 yr.,mnwk,no,3,All,LPM,policyTRUE,-3.40E-05,2.81E-07,-121.1060086,0
7.2,all,4 yr.,mnwk,no,3,All,LPM,age_grp16-19,0.000168478,2.70E-06,62.50830658,0
7.3,all,4 yr.,mnwk,no,3,All,LPM,age_grp20-24,0.000142822,2.51E-06,56.92764341,0
7.4,all,4 yr.,mnwk,no,3,All,LPM,age_grp25-34,6.86E-05,2.43E-06,28.19562185,6.62E-175
7.5,all,4 yr.,mnwk,no,3,All,LPM,age_grp35-44,4.29E-05,2.43E-06,17.66631402,7.62E-70
7.6,all,4 yr.,mnwk,no,3,All,LPM,age_grp45-54,1.75E-05,2.42E-06,7.20899181,5.64E-13
7.7,all,4 yr.,mnwk,no,3,All,LPM,age_grp55-64,-3.75E-06,2.42E-06,-1.545886904,0.122131884
7.8,all,4 yr.,mnwk,no,3,All,LPM,age_grp65-199,-2.40E-05,2.42E-06,-9.924288934,3.26E-23
7.9,all,4 yr.,mnwk,no,3,All,LPM,curr_pts_grp1-3,0.000266923,5.75E-07,464.4544836,0
7.1,all,4 yr.,mnwk,no,3,All,LPM,curr_pts_grp4-6,0.000566543,1.41E-06,403.1880036,0
7.11,all,4 yr.,mnwk,no,3,All,LPM,curr_pts_grp7-9,0.000822919,2.76E-06,297.9598542,0
7.12,all,4 yr.,mnwk,no,3,All,LPM,curr_pts_grp10-150,0.001161674,3.98E-06,291.8457769,0
7.13,all,4 yr.,mnwk,no,3,All,LPM,month02,2.90E-05,6.84E-07,42.34694483,0
7.14,all,4 yr.,mnwk,no,3,All,LPM,month03,2.98E-05,6.67E-07,44.72585998,0
7.15,all,4 yr.,mnwk,no,3,All,LPM,month04,3.05E-05,6.75E-07,45.11918222,0
7.16,all,4 yr.,mnwk,no,3,All,LPM,month05,3.48E-05,6.74E-07,51.64300268,0
7.17,all,4 yr.,mnwk,no,3,All,LPM,month06,3.52E-05,6.79E-07,51.79330495,0
7.18,all,4 yr.,mnwk,no,3,All,LPM,month07,2.92E-05,6.68E-07,43.78131335,0
7.19,all,4 yr.,mnwk,no,3,All,LPM,month08,8.85E-06,6.48E-07,13.65067382,2.00E-42
7.2,all,4 yr.,mnwk,no,3,All,LPM,month09,4.43E-05,6.87E-07,64.52146368,0
7.21,all,4 yr.,mnwk,no,3,All,LPM,month10,4.43E-05,6.81E-07,65.0178209,0
7.22,all,4 yr.,mnwk,no,3,All,LPM,month11,4.02E-05,6.83E-07,58.93557473,0
7.23,all,4 yr.,mnwk,no,3,All,LPM,month12,-6.93E-05,5.70E-07,-121.6148176,0
7.24,all,4 yr.,mnwk,no,3,All,LPM,weekdayMonday,6.11E-05,4.82E-07,126.5747405,0
7.25,all,4 yr.,mnwk,no,3,All,LPM,weekdayTuesday,8.39E-05,4.99E-07,168.1204081,0
7.26,all,4 yr.,mnwk,no,3,All,LPM,weekdayWednesday,9.80E-05,5.09E-07,192.4511443,0
7.27,all,4 yr.,mnwk,no,3,All,LPM,weekdayThursday,8.62E-05,5.02E-07,171.8553184,0
7.28,all,4 yr.,mnwk,no,3,All,LPM,weekdayFriday,6.80E-05,4.89E-07,139.1170321,0
7.29,all,4 yr.,mnwk,no,3,All,LPM,weekdaySaturday,1.44E-05,4.46E-07,32.38085055,5.11E-230
8,all,4 yr.,mnwk,with,3,All,LPM,(Intercept),2.05E-06,3.44E-06,0.597297824,0.550308557
8.1,all,4 yr.,mnwk,with,3,All,LPM,policyTRUE,-5.98E-06,4.81E-06,-1.241922069,0.214265317
8.2,all,4 yr.,mnwk,with,3,All,LPM,age_grp16-19,0.000193551,3.86E-06,50.14011428,0
8.3,all,4 yr.,mnwk,with,3,All,LPM,age_grp20-24,0.000168226,3.56E-06,47.2775376,0
8.4,all,4 yr.,mnwk,with,3,All,LPM,age_grp25-34,8.99E-05,3.44E-06,26.09365175,4.30E-150
