"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER"
"6.14","all","4 yr.","mnwk","35-44","all","All","LPM","month10",0.000108027470126207,2.33411107968706e-06,46.2820604667581,0,NA,NA
"6.15","all","4 yr.","mnwk","35-44","all","All","LPM","month11",0.000110950867941197,2.35701354663986e-06,47.072647545606,0,NA,NA
"6.16","all","4 yr.","mnwk","35-44","all","All","LPM","month12",-0.000168304382248182,1.94515807592192e-06,-86.5247839399444,0,NA,NA
"6.17","all","4 yr.","mnwk","35-44","all","All","LPM","weekdayMonday",0.000175533532882365,1.62976778586549e-06,107.704627864606,0,NA,NA
"6.18","all","4 yr.","mnwk","35-44","all","All","LPM","weekdayTuesday",0.000237481369204546,1.69570379404552e-06,140.048851714824,0,NA,NA
"6.19","all","4 yr.","mnwk","35-44","all","All","LPM","weekdayWednesday",0.000265795944443353,1.72504393705011e-06,154.080680923336,0,NA,NA
"6.20","all","4 yr.","mnwk","35-44","all","All","LPM","weekdayThursday",0.000238453218664004,1.70021866464951e-06,140.248559565813,0,NA,NA
"6.21","all","4 yr.","mnwk","35-44","all","All","LPM","weekdayFriday",0.000183664383172304,1.64192958209744e-06,111.858867258903,0,NA,NA
"6.22","all","4 yr.","mnwk","35-44","all","All","LPM","weekdaySaturday",3.82931045244301e-05,1.47142591598125e-06,26.0244869337466,2.61686539389523e-149,NA,NA
"7","all","4 yr.","mnwk","45-54","all","All","LPM","(Intercept)",7.2313691401292e-05,1.6252903312333e-06,44.4927838501439,0,NA,NA
"7.1","all","4 yr.","mnwk","45-54","all","All","LPM","policyTRUE",-3.06697835427243e-05,8.21872287973559e-07,-37.3169700347787,8.7110671706052e-305,NA,NA
"7.2","all","4 yr.","mnwk","45-54","all","All","LPM","curr_pts_grp1-3",0.000560271436308528,1.74373299283939e-06,321.305749566747,0,NA,NA
"7.3","all","4 yr.","mnwk","45-54","all","All","LPM","curr_pts_grp4-6",0.00112840179725992,4.35762919209538e-06,258.948558382803,0,NA,NA
"7.4","all","4 yr.","mnwk","45-54","all","All","LPM","curr_pts_grp7-9",0.00161928850404927,9.10293846544168e-06,177.886350676402,0,NA,NA
"7.5","all","4 yr.","mnwk","45-54","all","All","LPM","curr_pts_grp10-150",0.00217010009862648,1.47267751240893e-05,147.357454727257,0,NA,NA
"7.6","all","4 yr.","mnwk","45-54","all","All","LPM","month02",7.66414970911228e-05,2.04615469597772e-06,37.4563552021666,4.73460701368305e-307,NA,NA
"7.7","all","4 yr.","mnwk","45-54","all","All","LPM","month03",8.01657187925687e-05,1.99678407890127e-06,40.1474148555309,0,NA,NA
"7.8","all","4 yr.","mnwk","45-54","all","All","LPM","month04",7.02826647478373e-05,2.00504906472457e-06,35.05284034408,3.52999269999969e-269,NA,NA
"7.9","all","4 yr.","mnwk","45-54","all","All","LPM","month05",7.51699815675267e-05,1.99457848235557e-06,37.6871515623452,8.06623355722607e-311,NA,NA
"7.10","all","4 yr.","mnwk","45-54","all","All","LPM","month06",5.32267609583776e-05,1.97949191375014e-06,26.8891024957711,2.9455125702562e-159,NA,NA
"7.11","all","4 yr.","mnwk","45-54","all","All","LPM","month07",2.47425049498641e-05,1.9235659069049e-06,12.8628319211978,7.28578820734684e-38,NA,NA
"7.12","all","4 yr.","mnwk","45-54","all","All","LPM","month08",-1.21843980521637e-05,1.86789509856571e-06,-6.52306334628732,6.88857668157979e-11,NA,NA
"7.13","all","4 yr.","mnwk","45-54","all","All","LPM","month09",9.4896801679704e-05,2.03629037558825e-06,46.602784562241,0,NA,NA
"7.14","all","4 yr.","mnwk","45-54","all","All","LPM","month10",7.98766908707627e-05,2.00019280078928e-06,39.9344957342328,0,NA,NA
"7.15","all","4 yr.","mnwk","45-54","all","All","LPM","month11",7.55843000939831e-05,2.00835482208198e-06,37.634933460427,5.77231382582578e-310,NA,NA
"7.16","all","4 yr.","mnwk","45-54","all","All","LPM","month12",-0.000149498130579666,1.65847302013418e-06,-90.1420335240488,0,NA,NA
"7.17","all","4 yr.","mnwk","45-54","all","All","LPM","weekdayMonday",0.000147725755390537,1.39852038524833e-06,105.630033676131,0,NA,NA
"7.18","all","4 yr.","mnwk","45-54","all","All","LPM","weekdayTuesday",0.000198638199277989,1.45556554726895e-06,136.468055080508,0,NA,NA
"7.19","all","4 yr.","mnwk","45-54","all","All","LPM","weekdayWednesday",0.000222549284912131,1.48143296929309e-06,150.225686565034,0,NA,NA
"7.20","all","4 yr.","mnwk","45-54","all","All","LPM","weekdayThursday",0.000200333380265357,1.46036093172714e-06,137.180731087093,0,NA,NA
"7.21","all","4 yr.","mnwk","45-54","all","All","LPM","weekdayFriday",0.000155088300855772,1.40987569191452e-06,110.001400651976,0,NA,NA
"7.22","all","4 yr.","mnwk","45-54","all","All","LPM","weekdaySaturday",2.97059364224197e-05,1.25529175326169e-06,23.6645674961484,8.35752527024002e-124,NA,NA
"8","all","4 yr.","mnwk","55-64","all","All","LPM","(Intercept)",5.33542501910363e-05,1.64670321864489e-06,32.4006472975395,2.68814118452366e-230,NA,NA
"8.1","all","4 yr.","mnwk","55-64","all","All","LPM","policyTRUE",-2.21669122627919e-05,8.4300764166176e-07,-26.295031227826,2.18597603893855e-152,NA,NA
"8.2","all","4 yr.","mnwk","55-64","all","All","LPM","curr_pts_grp1-3",0.000505901231155569,2.04907669222974e-06,246.892287181825,0,NA,NA
"8.3","all","4 yr.","mnwk","55-64","all","All","LPM","curr_pts_grp4-6",0.00106898239257069,5.65137406910941e-06,189.15442147314,0,NA,NA
"8.4","all","4 yr.","mnwk","55-64","all","All","LPM","curr_pts_grp7-9",0.00153795713033508,1.2359979737751e-05,124.430392522223,0,NA,NA
"8.5","all","4 yr.","mnwk","55-64","all","All","LPM","curr_pts_grp10-150",0.00209439765347082,2.15810761951861e-05,97.0478781747688,0,NA,NA
"8.6","all","4 yr.","mnwk","55-64","all","All","LPM","month02",5.66688987371093e-05,2.07098363083952e-06,27.3632769922654,7.5070254675687e-165,NA,NA
"8.7","all","4 yr.","mnwk","55-64","all","All","LPM","month03",6.71889300399341e-05,2.03409261999116e-06,33.0314015102352,2.87805546402059e-239,NA,NA
"8.8","all","4 yr.","mnwk","55-64","all","All","LPM","month04",6.27956867232451e-05,2.06222099773001e-06,30.4505127202018,1.1794819149248e-203,NA,NA
"8.9","all","4 yr.","mnwk","55-64","all","All","LPM","month05",6.8260839914353e-05,2.05260694774463e-06,33.255680045981,1.69001226847617e-242,NA,NA
"8.10","all","4 yr.","mnwk","55-64","all","All","LPM","month06",4.99948729956971e-05,2.03423135962671e-06,24.5767880625296,2.23753732177048e-133,NA,NA
